POST /public/media-manager/project/:project/workflows/:workflowId/run | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/ai/workflows/:workflowId/run | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/approvals | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/approvals/:approvalId/decision | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/governance/policy | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/sources | block_by_default_with_compat_flag | P1C.2
DELETE /public/media-manager/project/:project/sources/:sourceType | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/integrations/:integrationId/connect | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/integrations/:integrationId/reconnect | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/integrations/:integrationId/test | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/integrations/:integrationId/sync | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/integrations/:integrationId/import-history | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/integrations/:integrationId/disconnect | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/publishing/schedule | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/publishing/:jobId/reschedule | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/publishing/:jobId/ready | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/publishing/:jobId/publish | block_by_default_with_compat_flag | P1C.2
POST /public/media-manager/project/:project/publishing/:jobId/fail | block_by_default_with_compat_flag | P1C.2
